team,index,week,points_avg,wins_avg,playoffs,playoff_bye,winner,runner_up,third,wins_stdev,points_stdev,per_game_avg,per_game_stdev,per_game_fano,earnings,as_of
The Big Heads,514.0,91.0,1209.8,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,16.4,0.179,0.0,16
Wankstas,505.0,91.0,1324.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.7,20.1,0.192,0.0,16
The Sofa Kings,510.0,91.0,1200.3,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,101.1,26.2,0.259,800.0,17
4Nette Finga Bangerz,468.0,91.0,1223.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,21.6,0.231,0.0,17
69ers,479.0,91.0,1169.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.5,21.3,0.237,0.0,17
All About the D,487.0,91.0,1397.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,106.7,19.1,0.179,100.0,17
Crotch de Fuego,497.0,91.0,1218.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,21.4,0.226,0.0,17
DJ Chark do do dooo,503.0,91.0,1328.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.7,0.237,0.0,17
Football Cream,511.0,91.0,1420.4,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,106.4,22.4,0.21,300.0,17
Kiss'in Cousins,509.0,91.0,1343.1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.6,30.0,0.298,0.0,17
Rollin' with Mahomes,516.0,91.0,1253.1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,16.7,0.17,0.0,17
Sunday ShNoz,507.0,91.0,1294.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.2,27.6,0.273,0.0,17
The Big Heads,514.0,91.0,1209.8,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,16.4,0.179,0.0,17
Wankstas,505.0,91.0,1324.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,21.5,0.209,0.0,17
