full_name,editorial_team_abbr,until
Stuart Fairchild,ARI,10/5/22
Travis Blankenhorn,NYM,10/5/22
Troy Stokes Jr.,MIL,10/5/22
Vidal Brujan,TB,10/5/22
Webster Rivas,SD,10/5/22
Yohel Pozo,TEX,10/5/22
Yonny Hernandez,ARI,10/5/22
Alex Blandino,SF,10/5/22
Eddie Rosario,ATL,7/15/22
JT Riddle,CIN,10/5/22
Matt Carpenter,TEX,10/5/22
Taylor Motter,BOS,10/5/22
Ali Sanchez,STL,10/5/22
Kevin Newman,PIT,7/1/22
Jonah Heim,TEX,5/1/22
Hoy Park,PIT,10/5/22
Nick Lodolo,CIN,5/15/22
Alex Dickerson,ATL,10/5/22
Justin Williams,PHI,10/5/22
Adalberto Mondesi,KC,10/5/22
Brady Singer,KC,10/5/22
Manny Pina,ATL,5/15/22
Nolan Gorman,STL,5/15/22
Travis Shaw,BOS,10/5/22
Wyatt Mathisen,SF,10/5/22
Brandon Belt,SF,6/5/22
Danny Santana,BOS,10/5/22
Joe Panik,MIA,10/5/22
Jose Rondon,STL,10/5/22
Kris Bryant,COL,6/20/22
Pedro Severino,MIL,10/5/22
Ramon Laureano,OAK,6/1/22
Richard Rodriguez,ATL,10/5/22
Rob Refsnyder,BOS,10/5/22
Nolan Arenado,STL,5/1/22
Jake Fraley,CIN,6/15/22
Jonathan India,CIN,6/20/22
Matt Duffy,LAA,5/10/22
Bailey Ober,MIN,5/15/22
Jake Brentz,KC,5/15/22
Jose Suarez,LAA,10/5/22
Miguel Sano,MIN,5/15/22
Alan Trejo,COL,10/5/22
Andrew Vaughn,CWS,5/15/22
Bobby Bradley,CLE,10/5/22
Carlos Santana,KC,5/20/22
Drew Smyly,CHC,5/15/22
Dustin Garneau,DET,10/5/22
Edmundo Sosa,STL,5/20/22
Jaylin Davis,BOS,10/5/22
Jo Adell,LAA,10/5/22
Joey Votto,CIN,5/15/22
Josh Lowe,TB,10/5/22
Kelvin Gutierrez,BAL,10/5/22
Kevin Smith,BAL,10/5/22
Kyle Garlick,MIN,5/20/22
Luke Williams,MIA,10/5/22
Matt Davidson,OAK,10/5/22
Mike Ford,SF,10/5/22
Nick Allen,OAK,10/5/22
Nick Senzel,CIN,5/15/22
Rene Pinto,TB,10/5/22
Willie Calhoun,TEX,10/5/22
Zach McKinstry,LAD,10/5/22
Cam Gallagher,KC,10/5/22
Elehuris Montero,COL,10/5/22
Luis Arraez,MIN,5/15/22
Robinson Cano,SD,5/15/22
Adam Wainwright,STL,5/16/22
Andrew McCutchen,MIL,5/17/22
Brian Anderson,MIA,6/20/22
Didi Gregorius,PHI,6/15/22
Jason Vosler,SF,10/5/22
Jon Berti,MIA,5/30/22
Kurt Suzuki,LAA,5/17/22
Marcus Stroman,CHC,5/18/22
Roberto Perez,PIT,10/5/22
Sergio Alcantara,ARI,10/5/22
Stephen Piscotty,OAK,6/15/22
Tim Locastro,NYY,6/15/22
Tom Murphy,SEA,6/15/22
Trevor Larnach,MIN,5/20/22
Zack Wheeler,PHI,5/18/22
Akil Baddoo,DET,10/5/22
David Robertson,CHC,5/21/22
Edward Olivares,KC,7/1/22
Jorge Lopez,BAL,5/16/22
Nick Madrigal,CHC,5/21/22
Paul DeJong,STL,10/5/22
Trayce Thompson,SD,10/5/22
