avg_salary,name,position,proj_salary,yahoo_team
$1.0,Zach Wilson,QB,$0,NYJ
$1.2,Green Bay,DEF,$0,GB
$1.0,Carson Wentz,QB,$0,Was
$1.3,Chase Claypool,WR,$4,Pit
$1.0,Greg Joseph,K,$0,Min
$1.1,Mac Jones,QB,$1,NE
$1.0,Cameron Brate,TE,$0,TB
$1.5,Chris Olave,WR,$3,NO
$1.5,Raheem Mostert,RB,$7,Mia
$1.1,Hunter Henry,TE,$3,NE
$1.1,Ryan Tannehill,QB,$1,Ten
$1.0,Greg Zuerlein,K,$0,NYJ
$1.4,Tua Tagovailoa,QB,$5,Mia
$2.7,Deshaun Watson,QB,$6,Cle
$1.4,Kadarius Toney,WR,$1,NYG
$1.3,Las Vegas,DEF,$0,LV
$1.5,Mecole Hardman,WR,$0,KC
$1.4,Nyheim Hines,RB,$5,Ind
$1.0,Robbie Gould,K,$0,SF
$1.0,Nick Folk,K,$0,NE
$1.1,Sony Michel,RB,$1,Mia
$1.1,Sammy Watkins,WR,$0,GB
$1.4,Mark Ingram II,RB,$0,NO
$1.1,Odell Beckham Jr.,WR,$0,LAR
$1.5,Jarvis Landry,WR,$2,NO
$1.2,Garrett Wilson,WR,$2,NYJ
$1.1,Baltimore,DEF,$0,Bal
$1.1,Kenny Golladay,WR,$0,NYG
$1.3,Justin Fields,QB,$4,Chi
$1.4,Jalen Tolbert,WR,$0,Dal
$1.3,Rachaad White,RB,$0,TB
$1.3,DeVante Parker,WR,$1,NE
$1.1,Jared Goff,QB,$0,Det
$1.0,Hayden Hurst,TE,$0,Cin
$1.0,Chris Boswell,K,$0,Pit
$1.1,Tyler Boyd,WR,$1,Cin
$1.2,Marquez Valdes-Scantling,WR,$1,KC
$1.5,Treylon Burks,WR,$5,Ten
$1.3,Tyler Allgeier,RB,$0,Atl
$1.7,Brian Robinson Jr.,RB,$0,Was
$1.4,Isaiah Spiller,RB,$0,LAC
$1.2,Jameis Winston,QB,$0,NO
$1.4,DJ Chark Jr.,WR,$1,Det
$1.0,Tim Patrick,WR,$0,Den
$1.2,Jakobi Meyers,WR,$1,NE
$1.1,Darrel Williams,RB,$1,Ari
$1.3,J.D. McKissic,RB,$4,Was
$1.1,Evan Engram,TE,$0,Jax
$1.6,Isiah Pacheco,RB,$0,KC
$1.5,Christian Watson,WR,$0,GB
$1.4,Skyy Moore,WR,$0,KC
$1.2,Jamaal Williams,RB,$3,Det
$1.1,Cole Kmet,TE,$3,Chi
$1.1,David Njoku,TE,$1,Cle
$1.0,Matt Ryan,QB,$1,Ind
$1.2,Alec Pierce,WR,$0,Ind
$1.0,Cade York,K,$0,Cle
$1.1,Rondale Moore,WR,$0,Ari
$1.3,Kenneth Gainwell,RB,$2,Phi
$1.3,Khalil Herbert,RB,$0,Chi
$1.0,Tyler Higbee,TE,$1,LAR
$1.2,Zamir White,RB,$0,LV
$1.0,Trevor Lawrence,QB,$1,Jax
$1.1,Jahan Dotson,WR,$0,Was
$1.9,Romeo Doubs,WR,$0,GB
$2.1,Jameson Williams,WR,$0,Det
$1.1,D'Onta Foreman,RB,$1,Car
$1.1,Washington,DEF,$0,Was
$1.2,Wil Lutz,K,$0,NO
$1.1,Noah Fant,TE,$2,Sea
$1.0,Austin Hooper,TE,$0,Ten
$1.5,Michael Gallup,WR,$5,Dal
$1.3,Matt Prater,K,$0,Ari
$1.1,Irv Smith Jr.,TE,$1,Min
$1.1,Robert Tonyan,TE,$1,GB
$1.0,New England,DEF,$0,NE
$1.4,Gus Edwards,RB,$3,Bal
$1.0,Jason Sanders,K,$0,Mia
$1.1,Pittsburgh,DEF,$0,Pit
$1.0,Daniel Jones,QB,$0,NYG
$2.3,Rodrigo Blankenship,K,$0,Ind
$1.5,Tennessee,DEF,$0,Ten
$1.0,Jake Elliott,K,$0,Phi
$1.0,Gerald Everett,TE,$0,LAC
$1.1,Logan Thomas,TE,$2,Was
$1.1,Ryan Succop,K,$0,TB
$1.0,Cleveland,DEF,$0,Cle
$1.2,Brandon McManus,K,$0,Den
$1.1,Dustin Hopkins,K,$0,LAC
$1.0,Kansas City,DEF,$0,KC
$1.0,Miami,DEF,$0,Mia
$1.0,Philadelphia,DEF,$0,Phi
$1.0,Cincinnati,DEF,$0,Cin
$1.0,Minnesota,DEF,$0,Min
$-,Nico Collins,WR,$0,Hou
$-,Corey Davis,WR,$1,NYJ
$-,K.J. Osborn,WR,$0,Min
$-,Samaje Perine,RB,$0,Cin
$-,Robbie Anderson,WR,$0,Car
$-,Kendrick Bourne,WR,$0,NE
$-,Eno Benjamin,RB,$0,Ari
$-,Mo Alie-Cox,TE,$0,Ind
$-,Dontrell Hilliard,RB,$1,Ten
$-,Parris Campbell,WR,$0,Ind
$-,Van Jefferson,WR,$0,LAR
$-,Isaiah McKenzie,WR,$0,Buf
$-,Marcus Mariota,QB,$0,Atl
$-,Boston Scott,RB,$0,Phi
$-,Tyrion Davis-Price,RB,$0,SF
$-,D'Ernest Johnson,RB,$1,Cle
$-,Wan'Dale Robinson,WR,$0,NYG
$-,David Bell,WR,$0,Cle
$-,Davis Mills,QB,$0,Hou
