league_id,name,category
976257089054015488,#SFB13 Hills Have Pies,real restaurant
976243766015102976,#SFB13 Carrabba's ,real restaurant
976241207141511168,#SFB13 Pink's Hot Dogs,real restaurant
976239713524772864,#SFB13 The Habit Burger,real restaurant
976232568838316032,#SFB13 El Pollo Loco,real restaurant
976230327251197952,#SFB13 Yard House,real restaurant
976226938727575552,#SFB13 Zaxby's,real restaurant
976218080873377792,#SFB13 Moe's,real restaurant
976252462224969728,#SFB13 Coca-Cola,non-alcoholic drink
976234515964252160,#SFB13 Minute Maid,non-alcoholic drink
976227352424300544,#SFB13 Lipton,non-alcoholic drink
976219764827754496,#SFB13 Powerade,non-alcoholic drink
976217778971533312,#SFB13 Schweppes,non-alcoholic drink
976217317648461824,#SFB13 Surge,non-alcoholic drink
976216215674736640,#SFB13 A&W,non-alcoholic drink
976215097020358656,#SFB13 Mello Yello,non-alcoholic drink
976214462183120896,#SFB13 7 Up,non-alcoholic drink
976213710123446272,#SFB13 Sprite,non-alcoholic drink
976208499250147328,#SFB13 Canada Dry,non-alcoholic drink
976207160138862592,#SFB13 Dr. Pepper,non-alcoholic drink
976206900356259840,#SFB13 Fanta,non-alcoholic drink
976205456874045440,#SFB13 Jarritos,non-alcoholic drink
976205178544152576,#SFB13 Kool-Aid,non-alcoholic drink
976204236943855616,#SFB13 Pepsi,non-alcoholic drink
976226383519174656,#SFB13 Cheerwine,non-alcoholic drink
976213866684137472,#SFB13 Prime,non-alcoholic drink
976252084750229504,#SFB13 Albertsons,grocery
976237399451725824,#SFB13 Kroger,grocery
976219448543592448,#SFB13 Whole Foods,grocery
976219257782484992,#SFB13 Aldi,grocery
976203263441702912,#SFB13 Trader Joe's,grocery
976247935782445056,#SFB13 Food Lion,grocery
976244383911661568,#SFB13 Publix,grocery
976243523169099776,#SFB13 Circle K,grocery
976217154116714496,#SFB13 Wegmans,grocery
976259651387838464,#SFB13 Green Giant,foodstuffs
976251127027060736,#SFB13 Del Monte,foodstuffs
976249368892207104,#SFB13 Oscar Mayer,foodstuffs
976248966293598208,#SFB13 Pillsbury ,foodstuffs
976248822110240768,#SFB13 Quaker,foodstuffs
976247753330253824,#SFB13 French's ,foodstuffs
976246638014468096,#SFB13 Kraft,foodstuffs
976245185321480192,#SFB13 Nabisco,foodstuffs
976238934399283200,#SFB13 Tyson,foodstuffs
976238177612554240,#SFB13 Campbell's ,foodstuffs
976236169564397568,#SFB13 Wonder Bread,foodstuffs
976232373383737344,#SFB13 Heinz,foodstuffs
976207270977617920,#SFB13 Chiquita,foodstuffs
976260833393135616,#SFB13 Pizza Planet,fictional restaurant
976241886887292928,#SFB13 Paunch Burger,fictional restaurant
976214742555570176,#SFB13 The Drunken Clam,fictional restaurant
976212940170788864,#SFB13 Bluth's Frozen Banana Stand,fictional restaurant
976212767797567488,#SFB13 Bob's Burgers,fictional restaurant
976207971694788608,#SFB13 Central Perk,fictional restaurant
976214152773505024,#SFB13 Luke's Diner,fictional restaurant
976215228578865152,#SFB13 Krusty Burger,fictional restaurant
976235776574849024,#SFB13 Alamo Freeze,fictional restaurant
976231954381099008,#SFB13 Scoops Ahoy,fictional restaurant
976217640899301376,#SFB13 Snuggly Duckling,fictional restaurant
976223091221127168,#SFB13 Cooper's Hawk Winery,alcoholic drink
976258810002128896,#SFB13 Patron,alcoholic drink
976243970499997696,#SFB13 Bud Light,alcoholic drink
976232790658179072,#SFB13 Coors,alcoholic drink
976215375102767104,#SFB13 High Noon,alcoholic drink
976214276178231296,#SFB13 Guinness ,alcoholic drink
976213122832719872,#SFB13 Blue Moon,alcoholic drink
976204374806499328,#SFB13 Pabst Blue Ribbon,alcoholic drink
976256080705597440,#SFB13 DC Brau,alcoholic drink
976253490160832512,#SFB13 Fattey Beer Co.,alcoholic drink
