full_name,editorial_team_abbr,until
Manny Machado,SD,6/1/23
C.J. Cron,COL,6/15/23
Rhys Hoskins,PHI,10/2/23
Domingo German,NYY,5/28/23
Tyler Mahle,MIN,10/2/23
Oscar Gonzalez,CLE,10/2/23
Dustin May,LAD,8/1/23
Dany Jimenez,OAK,10/2/23
Austin Meadows,DET,10/2/23
Walker Buehler,LAD,9/1/23
Hyun Jin Ryu,TOR,7/15/23
Christian Encarnacion-Strand,CIN,10/2/23
Jacob deGrom,TEX,10/2/23
Julio Urias,LAD,7/1/23
Vince Velasquez,PIT,9/1/23
Mike Clevinger,CWS,7/21/23
Max Fried,ATL,7/20/23
Nick Lodolo,CIN,8/1/23
Dylan Lee,ATL,6/15/23
Mason Miller,OAK,9/1/23
Jose Urquidy,HOU,7/20/23
Trevor Rogers,MIA,9/1/23
Brad Boxberger,CHC,8/1/23
Aaron Civale,CLE,6/1/23
Kenta Maeda,MIN,6/15/23
Robbie Ray,SEA,10/2/23
Kyle Hendricks,CHC,5/28/23
Codi Heuer,CHC,7/1/23
Thairo Estrada,SF,8/15/23
Ezequiel Duran,TEX,6/2/23
Willy Adames,MIL,6/7/23
Dane Dunning,TEX,5/31/23
Grayson Rodriguez,BAL,10/2/23
Matt Moore,LAA,7/14/23
Harrison Bader,NYY,6/15/23
Cedric Mullins,BAL,6/15/23
Lars Nootbaar,STL,6/15/23
Kris Bryant,COL,6/15/23
Chris Bassitt,TOR,6/7/23
Justin Steele,CHC,6/25/23
Chris Sale,BOS,8/1/23
Josh Bell,CLE,6/7/23
Jesse Winker,MIL,6/15/23
Marco Gonzales,SEA,6/25/23
Pete Fairbanks,TB,6/25/23
Cal Quantrill,CLE,8/1/23
Byron Buxton,MIN,6/15/23
Nick Senzel,CIN,6/15/23
Brandon Lowe,TB,7/1/23
Danny Jansen,TOR,6/15/23
Wil Myers,CIN,10/2/23
Seth Lugo,SD,6/15/23
Ross Stripling,SF,6/15/23
Hunter Renfroe,LAA,6/11/23
Pete Alonso,NYM,7/1/23
Nestor Cortes,NYY,8/1/23
Graham Ashcraft,CIN,7/1/23
Noah Syndergaard,LAD,7/21/23
Jake Fraley,CIN,7/1/23
Ryan Mountcastle,BAL,7/1/23
Charlie Blackmon,COL,9/1/23
Vinnie Pasquantino,KC,9/1/23
Ryan Helsley,STL,8/1/23
James Karinchak,CLE,10/2/23
Ben Joyce,LAA,10/2/23
Luis Matos,SF,6/15/23
Josh Lowe,TB,7/14/23
Aaron Judge,NYY,8/1/23
Yordan Alvarez,HOU,7/21/23
Jose Altuve,HOU,7/21/23
Chris Taylor,LAD,7/14/23
Royce Lewis,MIN,8/15/23
George Springer,TOR,7/14/23
Mike Trout,LAA,9/1/23
Esteury Ruiz,OAK,8/1/23
Tommy Edman,STL,7/21/23
Brandon Drury,LAA,7/21/23
Shane McClanahan,TB,7/21/23
Andrew McCutchen,PIT,7/21/23
Ji Hwan Bae,PIT,7/21/23
Merrill Kelly,ARI,7/18/23
Dansby Swanson,CHC,7/21/23
Ke'Bryan Hayes,PIT,7/21/23
Ramon Laureano,OAK,8/1/23
Josh Rojas,ARI,10/2/23
Gio Urshela,LAA,9/1/23
Michael Wacha,SD,8/1/23
Yoan Moncada,CWS,7/21/23
Rowdy Tellez,MIL,7/21/23
Hunter Greene,CIN,8/1/23
Michael Kopech,CWS,7/14/23
Bryce Miller,SEA,8/1/23
Edward Cabrera,MIA,7/21/23
Anthony DeSclafani,SF,7/21/23
Eury Perez,MIA,10/2/23
Jose Alvarado,PHI,8/1/23
Logan Allen,CLE,10/2/23
AJ Smith-Shawver,ATL,10/2/23
Seranthony Dominguez,PHI,7/21/23
Ronny Mauricio,NYM,10/2/23
